generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
41000,Calendula_officinalis,Scorzonera_hispanica,316.45,1.26314,0.0043902,1.05104,0
41000,Teucrium_montanum,Salvia_glutinosa,324.263,2.38929,0.0696593,3.53499,0
41000,Ranunculus_aconitifolius,Ranunculus_auricomus,340.294,1.14695,-0.0222885,0.111612,0
42000,Juncus_atratus,Cedrus_atlantica,0,0.259443,0.00532674,0.374192,0
42000,Rhynchospora_fusca,Eleocharis_quinqueflora,334.162,2.5215,0.118223,3.62294,0
42000,Brachypodium_pinnatum,Stipa_pennata,346.828,7.55133,0.143663,7.84204,0
42000,Nardus_stricta,Molinia_caerulea,329.508,1.26022,0.103573,1.72653,0
42000,Narthecium_ossifragum,NA,325.428,0.566452,-0.00727862,0.535002,0
42000,Althaea_officinalis,Malva_pusilla,333.403,3.37527,0.0481633,4.06547,0
42000,Calendula_officinalis,Scorzonera_hispanica,312.46,1.2306,0.0043902,1.06106,0
42000,Teucrium_montanum,Salvia_glutinosa,325.534,2.38929,0.0696593,3.53499,0
42000,Ranunculus_aconitifolius,Ranunculus_auricomus,341.428,0.592528,0.0959538,0.0592468,0
42000,Liriodendron_tulipifera,NA,289.422,0.260298,0.0193019,0.397866,0
43000,Juncus_atratus,Cedrus_atlantica,0,0.259443,0.00532674,0.374192,0
43000,Rhynchospora_fusca,Eleocharis_quinqueflora,334.162,2.5215,0.116813,3.62294,0
43000,Brachypodium_pinnatum,Stipa_pennata,346.828,7.55133,0.133831,8.12782,0
43000,Nardus_stricta,Molinia_caerulea,326.827,1.29523,0.0924704,1.75686,0
43000,Narthecium_ossifragum,NA,316.169,0.530549,-0.00727862,0.535002,0
43000,Althaea_officinalis,Malva_pusilla,335.728,3.37527,0.0481633,4.42026,0
43000,Calendula_officinalis,Scorzonera_hispanica,312.539,1.2306,0.0043902,1.06038,0
43000,Teucrium_montanum,Salvia_glutinosa,325.534,2.38929,0.0696593,3.53499,0
43000,Ranunculus_aconitifolius,Ranunculus_auricomus,339.308,0.706926,0.0115597,0.0242203,0
43000,Liriodendron_tulipifera,NA,300.455,0.263767,0.0193019,0.407195,0
44000,Juncus_atratus,Cedrus_atlantica,0,0.259443,0.00532674,0.374192,0
44000,Rhynchospora_fusca,Eleocharis_quinqueflora,334.063,2.5215,0.116813,3.62294,0
44000,Stipa_pennata,Bromus_erectus,346.879,7.60815,0.151631,8.09299,0
44000,Nardus_stricta,Molinia_caerulea,324.611,1.35777,0.0599425,1.75686,0
44000,Narthecium_ossifragum,NA,303.507,0.53504,-0.000417914,0.573642,0
44000,Althaea_officinalis,Malva_pusilla,335.399,3.37527,0.0449091,4.42026,0
44000,Calendula_officinalis,Scorzonera_hispanica,312.449,1.2306,0.0043902,1.06038,0
44000,Teucrium_montanum,Salvia_glutinosa,325.335,2.38929,0.0630969,3.53499,0
44000,Ranunculus_aconitifolius,Ranunculus_auricomus,341.383,0.800455,0.0552622,0.360767,0
44000,Liriodendron_tulipifera,NA,275.868,0.270544,0.0226304,0.407195,0
45000,Juncus_atratus,Cedrus_atlantica,0,0.259443,0.00532674,0.374192,0
45000,Rhynchospora_fusca,Eleocharis_quinqueflora,334.063,2.55966,0.115808,3.62294,0
45000,Stipa_pennata,Bromus_erectus,347.006,7.60815,0.14854,8.09299,0
45000,Nardus_stricta,Molinia_caerulea,324.611,1.35777,0.0599425,1.75686,0
45000,Narthecium_ossifragum,NA,305.599,0.545098,-0.00188141,0.573642,0
45000,Althaea_officinalis,Malva_pusilla,330.39,3.37527,0.0429844,4.42026,0
45000,Calendula_officinalis,Scorzonera_hispanica,312.496,1.23565,0.0043902,1.06038,0
45000,Teucrium_montanum,Salvia_glutinosa,326.826,2.41357,0.0535582,3.50607,0
