"","species","val"
"285","Epipogium_aphyllum",-0.37675071
"286","Epipactis_palustris",-0.698970004
"287","Epipactis_helleborine",-0.721246399
"288","Gymnadenia_conopsea",-0.494850022
"289","Dactylorhiza_maculata",-0.522878745
"290","Dactylorhiza_majalis",-0.552841969
"291","Liparis_loeselii",-0.677780705
"292","Corallorhiza_trifida",-0.657577319
"293","Erythronium_dens-canis",0.635483747
"294","Fritillaria_meleagris",0.301029996
"295","Lilium_bulbiferum",0.354108439
"296","Lilium_martagon",0.285557309
"297","Colchicum_autumnale",0.797267541
"298","Veratrum_album",0.238046103
"299","Paris_quadrifolia",0.666517981
"300","Narthecium_ossifragum",-0.013228266
"301","Alisma_plantago-aquatica",0.311753861
"302","Luronium_natans",0.397940009
"303","Baldellia_ranunculoides",0.356025857
"304","Alisma_gramineum",0.36361198
"305","Alisma_lanceolatum",0.294466226
"306","Sagittaria_sagittifolia",0.330413773
"307","Triglochin_maritima",0.403120521
"308","Triglochin_palustris",0.334453751
"309","Butomus_umbellatus",0.340444115
"310","Scheuchzeria_palustris",0.540329475
"311","Potamogeton_polygonifolius",0.598790507
"312","Potamogeton_natans",0.596597096
"313","Potamogeton_alpinus",0.522444234
"314","Calla_palustris",0.658011397
"315","Arum_maculatum",0.69019608
"316","Acorus_calamus",0.414973348
"317","Barbarea_stricta",0.45331834
"318","Hesperis_matronalis",0.655138435
"319","Thlaspi_arvense",0.546542663
"320","Alliaria_petiolata",0.62838893
"321","Lepidium_campestre",0.57863921
"322","Barbarea_vulgaris",0.556302501
"323","Cardamine_impatiens",0.356025857
"324","Cardamine_pratensis",0.591064607
"325","Cardamine_hirsuta",0.240549248
"326","Cardamine_heptaphylla",0.644438589
"327","Cardamine_resedifolia",0.29136885
"328","Nasturtium_microphyllum",0.285557309
"329","Nasturtium_officinale",0.403120521
"330","Rorippa_austriaca",0.290034611
"331","Rorippa_sylvestris",0.255272505
"332","Rorippa_palustris",0.212187604
"333","Pritzelago_alpina",0.403120521
"334","Hornungia_petraea",0.276461804
"335","Descurainia_sophia",0.555094449
"336","Camelina_microcarpa",0.348304863
"337","Cochlearia_officinalis",0.525044807
"338","Cochlearia_danica",0.434568904
"339","Arabidopsis_thaliana",0.075546961
"340","Malcolmia_maritima",0.530199698
"341","Erysimum_cheiranthoides",0.44870632
"342","Erysimum_cheiri",0.495544338
"343","Lunaria_rediviva",0.552668216
"344","Lunaria_annua",0.495544338
