species,velocity,log.velocity
Paris quadrifolia,4.64,0.666517981
Buglossoides arvensis,4.63,0.665580991
Helleborus foetidus,4.63,0.665580991
Helleborus foetidus,4.63,0.665580991
Helleborus foetidus,4.63,0.665580991
Helleborus foetidus,4.63,0.665580991
Hyacinthoides non-scripta,4.63,0.665580991
Iris pseudacorus,4.63,0.665580991
Juniperus communis,4.63,0.665580991
Juniperus communis,4.63,0.665580991
Juniperus communis,4.63,0.665580991
Juniperus communis,4.63,0.665580991
Juniperus communis,4.63,0.665580991
Lathyrus tuberosus,4.63,0.665580991
Rosa agrestis,4.63,0.665580991
Rosa agrestis,4.63,0.665580991
Rosa micrantha,4.63,0.665580991
Rosa micrantha,4.63,0.665580991
Rosa micrantha,4.63,0.665580991
Rosa micrantha,4.63,0.665580991
Rosa micrantha,4.63,0.665580991
Rosa micrantha,4.63,0.665580991
Rosa sherardii,4.63,0.665580991
Rosa sherardii,4.63,0.665580991
Trifolium alpinum,4.63,0.665580991
Triticum dicoccon,4.63,0.665580991
Triticum dicoccon,4.63,0.665580991
Triticum dicoccon,4.63,0.665580991
Triticum durum,4.63,0.665580991
Triticum durum,4.63,0.665580991
Vicia hirsuta,4.63,0.665580991
Vicia hirsuta,4.63,0.665580991
Vicia sativa s. nigra,4.63,0.665580991
Vicia sativa s. nigra,4.63,0.665580991
Xanthium albinum s.lat.,4.63,0.665580991
Brassica oleracea,4.62,0.664641976
Bromus sterilis,4.62,0.664641976
Galium verrucosum,4.62,0.664641976
Lolium temulentum,4.62,0.664641976
Mercurialis perennis,4.62,0.664641976
Triticum aestivum,4.61,0.663700925
Vicia hirsuta,4.61,0.663700925
Geranium nodosum,4.6,0.662757832
Saponaria ocymoides,4.59,0.661812686
Helleborus niger,4.58,0.660865478
Maianthemum bifolium,4.57,0.6599162
Vicia sativa s. nigra,4.57,0.6599162
Festuca gigantea,4.56,0.658964843
Galium aparine,4.56,0.658964843
Solanum luteum s. alatum,4.56,0.658964843
Solanum luteum s. alatum,4.56,0.658964843
Arum maculatum,4.55,0.658011397
Calla palustris,4.55,0.658011397
Calla palustris,4.55,0.658011397
Cannabis sativa,4.55,0.658011397
Elymus caninus,4.55,0.658011397
Helleborus foetidus,4.55,0.658011397
Helleborus foetidus,4.55,0.658011397
Helleborus foetidus,4.55,0.658011397
Helleborus foetidus,4.55,0.658011397
Helleborus foetidus,4.55,0.658011397
Helleborus viridis,4.55,0.658011397
Juniperus communis,4.55,0.658011397
Juniperus communis,4.55,0.658011397
Lathyrus pratensis,4.55,0.658011397
Lathyrus sylvestris,4.55,0.658011397
Lathyrus sylvestris,4.55,0.658011397
Lathyrus tuberosus,4.55,0.658011397
Lathyrus tuberosus,4.55,0.658011397
Lathyrus tuberosus,4.55,0.658011397
Lathyrus tuberosus,4.55,0.658011397
Lathyrus tuberosus,4.55,0.658011397
Lathyrus tuberosus,4.55,0.658011397
Lathyrus tuberosus,4.55,0.658011397
Lathyrus tuberosus,4.55,0.658011397
Melampyrum pratense,4.55,0.658011397
Onobrychis viciifolia,4.55,0.658011397
Phytolacca esculenta,4.55,0.658011397
Rosa agrestis,4.55,0.658011397
Rosa micrantha,4.55,0.658011397
Rosa micrantha,4.55,0.658011397
Rosa micrantha,4.55,0.658011397
Rosa sherardii,4.55,0.658011397
Rosa sherardii,4.55,0.658011397
Rosa sherardii,4.55,0.658011397
Triticum durum,4.55,0.658011397
Xanthium albinum s.lat.,4.55,0.658011397
Cytisus sessilifolius,4.54,0.657055853
Allium ursinum,4.53,0.656098202
Cruciata laevipes,4.53,0.656098202
Cytisus scoparius,4.53,0.656098202
Melampyrum pratense,4.53,0.656098202
Onobrychis viciifolia,4.53,0.656098202
Rosa agrestis,4.53,0.656098202
Avena sterilis,4.52,0.655138435
Hesperis matronalis,4.52,0.655138435
Symphytum officinale,4.52,0.655138435
Argemone mexicana,4.51,0.654176542
Xanthium albinum s.lat.,4.51,0.654176542
Rosa agrestis,4.5,0.653212514
Ulex europaeus,4.5,0.653212514
Astragalus glycyphyllos,4.47,0.650307523
Chamaecytisus purpureus,4.47,0.650307523
Helleborus niger,4.47,0.650307523
Ranunculus thora,4.47,0.650307523
Arctium lappa,4.46,0.649334859
Calla palustris,4.46,0.649334859
Coronilla emerus,4.46,0.649334859
Helleborus foetidus,4.46,0.649334859
Helleborus foetidus,4.46,0.649334859
Honkenya peploides,4.46,0.649334859
Iris pseudacorus,4.46,0.649334859
Iris pseudacorus,4.46,0.649334859
Lathyrus tuberosus,4.46,0.649334859
Lathyrus tuberosus,4.46,0.649334859
Ononis spinosa,4.46,0.649334859
Rosa agrestis,4.46,0.649334859
Rosa micrantha,4.46,0.649334859
Rosa sherardii,4.46,0.649334859
Solanum luteum s. alatum,4.46,0.649334859
Triticum spelta,4.46,0.649334859
Vicia cracca,4.46,0.649334859
Vicia cracca,4.46,0.649334859
Vicia hirsuta,4.46,0.649334859
Xanthium albinum s.lat.,4.46,0.649334859
Trifolium fragiferum,4.44,0.64738297
Chamaecytisus hirsutus,4.43,0.646403726
Genista tinctoria,4.43,0.646403726
Ornithogalum narbonense,4.42,0.645422269
Cardamine heptaphylla,4.41,0.644438589
Vinca minor,4.41,0.644438589
Dorycnium pentaphyllum,4.4,0.643452676
Geranium sanguineum,4.4,0.643452676
Arctium lappa,4.39,0.64246452
Bifora radians,4.39,0.64246452
Bifora radians,4.39,0.64246452
Bifora radians,4.39,0.64246452
Cannabis sativa,4.39,0.64246452
Fumaria officinalis,4.39,0.64246452
Honkenya peploides,4.39,0.64246452
Impatiens parviflora,4.39,0.64246452
Juniperus communis,4.39,0.64246452
Lathyrus pratensis,4.39,0.64246452
Lotus corniculatus,4.39,0.64246452
Ononis spinosa,4.39,0.64246452
Ononis spinosa,4.39,0.64246452
Ononis spinosa,4.39,0.64246452
Ribes alpinum,4.39,0.64246452
Rosa rubiginosa,4.39,0.64246452
Sinapis arvensis,4.39,0.64246452
Sinapis arvensis,4.39,0.64246452
Sinapis arvensis,4.39,0.64246452
Sinapis arvensis,4.39,0.64246452
Sorbus aria,4.39,0.64246452
Triticum spelta,4.39,0.64246452
Vicia cracca,4.39,0.64246452
Vicia cracca,4.39,0.64246452
Vicia cracca,4.39,0.64246452
Vicia cracca,4.39,0.64246452
Xanthium strumarium,4.39,0.64246452
Iris graminea,4.38,0.641474111
Sinapis arvensis,4.38,0.641474111
Trifolium medium,4.38,0.641474111
Coronilla vaginalis,4.36,0.639486489
Symphytum tuberosum,4.35,0.638489257
Trifolium rubens,4.35,0.638489257
Vicia cracca,4.35,0.638489257
Linum tenuifolium,4.34,0.63748973
Coronilla coronata,4.33,0.636487896
Erythronium dens-canis,4.32,0.635483747
Galeopsis tetrahit,4.32,0.635483747
Agrostemma githago,4.31,0.63447727
Arctium lappa,4.31,0.63447727
Arctium lappa,4.31,0.63447727
Asparagus officinalis,4.31,0.63447727
Astragalus glycyphyllos,4.31,0.63447727
Astragalus glycyphyllos,4.31,0.63447727
Astragalus glycyphyllos,4.31,0.63447727
Bifora radians,4.31,0.63447727
Bifora radians,4.31,0.63447727
Bifora radians,4.31,0.63447727
Bifora radians,4.31,0.63447727
Bifora radians,4.31,0.63447727
Carthamus tinctorius,4.31,0.63447727
Eschscholzia californica,4.31,0.63447727
Frangula alnus,4.31,0.63447727
Frangula alnus,4.31,0.63447727
Frangula alnus,4.31,0.63447727
Honkenya peploides,4.31,0.63447727
Iris pseudacorus,4.31,0.63447727
Iris pseudacorus,4.31,0.63447727
Iris pseudacorus,4.31,0.63447727
Juniperus communis,4.31,0.63447727
Lathyrus pratensis,4.31,0.63447727
Lathyrus pratensis,4.31,0.63447727
Lathyrus pratensis,4.31,0.63447727
Lathyrus pratensis,4.31,0.63447727
Lotus corniculatus,4.31,0.63447727
Ononis spinosa,4.31,0.63447727
Ononis spinosa,4.31,0.63447727
Ononis spinosa,4.31,0.63447727
Ononis spinosa,4.31,0.63447727
Ornithogalum narbonense,4.31,0.63447727
Ribes alpinum,4.31,0.63447727
Rosa agrestis,4.31,0.63447727
Rosa agrestis,4.31,0.63447727
Rosa micrantha,4.31,0.63447727
Rosa rubiginosa,4.31,0.63447727
Rosa sherardii,4.31,0.63447727
Sinapis arvensis,4.31,0.63447727
Sinapis arvensis,4.31,0.63447727
Sinapis arvensis,4.31,0.63447727
Sinapis arvensis,4.31,0.63447727
Sinapis arvensis,4.31,0.63447727
Sinapis arvensis,4.31,0.63447727
Sinapis arvensis,4.31,0.63447727
Sinapis arvensis,4.31,0.63447727
Solanum luteum s. alatum,4.31,0.63447727
Sorbus aria,4.31,0.63447727
Sorbus aria,4.31,0.63447727
Sorbus aria,4.31,0.63447727
Sparganium erectum,4.31,0.63447727
Vicia cracca,4.31,0.63447727
Vicia cracca,4.31,0.63447727
Vicia cracca,4.31,0.63447727
Vicia cracca,4.31,0.63447727
