"","species","genus","family","order","group","velocity","log.velocity"
"981","Adenostyles alliariae","Adenostyles","Asteraceae","Asterales","Angiosperms",0.73,-0.13667714
"813","Leuzea rhapontica","Leuzea","Asteraceae","Asterales","Angiosperms",0.5,-0.301029996
"974","Achillea cartilaginea","Achillea","Asteraceae","Asterales","Angiosperms",2.5,0.397940009
"976","Artemisia maritima","Artemisia","Asteraceae","Asterales","Angiosperms",3.38,0.5289167
"977","Artemisia genipi","Artemisia","Asteraceae","Asterales","Angiosperms",1.6014,0.204499824
"804","Picris echioides","Picris","Asteraceae","Asterales","Angiosperms",0.95,-0.022276395
"805","Picris pauciflora","Picris","Asteraceae","Asterales","Angiosperms",3.36,0.526339277
"798","Leucanthemopsis alpina","Leucanthemopsis","Asteraceae","Asterales","Angiosperms",1.46,0.164352856
"815","Cirsium acaule","Cirsium","Asteraceae","Asterales","Angiosperms",0.387,-0.412289035
"816","Cirsium eriophorum","Cirsium","Asteraceae","Asterales","Angiosperms",0.62,-0.207608311
"818","Cirsium dissectum","Cirsium","Asteraceae","Asterales","Angiosperms",0.64,-0.193820026
"817","Cirsium pannonicum","Cirsium","Asteraceae","Asterales","Angiosperms",3.78,0.5774918
"802","Solidago altissima","Solidago","Asteraceae","Asterales","Angiosperms",0.28,-0.552841969
"803","Solidago graminifolia","Solidago","Asteraceae","Asterales","Angiosperms",0.165,-0.782516056
"799","Erigeron acer","Erigeron","Asteraceae","Asterales","Angiosperms",0.47,-0.327902142
"800","Erigeron alpinus","Erigeron","Asteraceae","Asterales","Angiosperms",0.67206,-0.172591952
"801","Hedypnois cretica","Hedypnois","Asteraceae","Asterales","Angiosperms",3.04,0.482873584
"812","Filago lutescens","Filago","Asteraceae","Asterales","Angiosperms",1.0897,0.037306951
"821","Taraxacum species","Taraxacum","Asteraceae","Asterales","Angiosperms",0.74,-0.13076828
"975","Matricaria maritima","Matricaria","Asteraceae","Asterales","Angiosperms",2.48,0.394451681
"814","Serratula tinctoria","Serratula","Asteraceae","Asterales","Angiosperms",1.05,0.021189299
